stop_id,stop_name,code,distance,stop_points/0/code,stop_points/0/stop_id,stop_points/0/stop_lat,stop_points/0/stop_lon,stop_points/0/stop_name,stop_points/1/code,stop_points/1/stop_id,stop_points/1/stop_lat,stop_points/1/stop_lon,stop_points/1/stop_name,stop_points/2/code,stop_points/2/stop_id,stop_points/2/stop_lat,stop_points/2/stop_lon,stop_points/2/stop_name,stop_points/3/code,stop_points/3/stop_id,stop_points/3/stop_lat,stop_points/3/stop_lon,stop_points/3/stop_name,stop_points/4/code,stop_points/4/stop_id,stop_points/4/stop_lat,stop_points/4/stop_lon,stop_points/4/stop_name,stop_points/5/code,stop_points/5/stop_id,stop_points/5/stop_lat,stop_points/5/stop_lon,stop_points/5/stop_name
AMBPHILO,Amber and Philo,MTD1511,33876.86,MTD1511,AMBPHILO:1,40.087414,-88.190431,Amber & Philo (NE Corner),MTD1511,AMBPHILO:2,40.087013,-88.190552,Amber & Philo (SE Corner),,,,,,,,,,,,,,,,,,,,
AMBUC,University and Ambucs Park Entrance,MTD4322,32617.24,MTD4322,AMBUC:1,40.115722,-88.192453,Ambucs Park (South Side),MTD4322,AMBUC:2,40.115905,-88.192215,Ambucs Park (North Side),,,,,,,,,,,,,,,,,,,,
ANTAMRN,Anthony at Ameren,MTD8437,25606.62,MTD8437,ANTAMRN:2,40.136563,-88.224243,Anthony at Ameren (North Side),,,,,,,,,,,,,,,,,,,,,,,,,
ANTCMBL,Anthony and Campbell,MTD5255,15220.29,MTD5255,ANTCMBL:1,40.137943,-88.269792,Anthony & Campbell (NE Corner),MTD5255,ANTCMBL:4,40.138067,-88.269917,Anthony & Campbell (NW Corner),MTD5255,ANTCMBL:5,40.138247,-88.26968,Anthony & Campbell (NE Far Side),,,,,,,,,,,,,,,
ANTDOBB,Anthony and Dobbins,MTD4730,14916.64,MTD4730,ANTDOBB:2,40.141552,-88.276736,Anthony & Dobbins (SE Corner),MTD4730,ANTDOBB:4,40.141712,-88.276975,Anthony & Dobbins (NW Corner),,,,,,,,,,,,,,,,,,,,
ANTGOODWILL,Anthony Dr. at Goodwill,MTD7542,17236.72,MTD7542,ANTGOODWILL:1,40.137117,-88.259206,Anthony Dr. at Goodwill (NE Corner),MTD7542,ANTGOODWILL:2,40.137096,-88.25907,Anthony Dr. at Goodwill (SE),,,,,,,,,,,,,,,,,,,,
ANTHMKT,Anthony and Market,MTD7816,21581.97,MTD7816,ANTHMKT:3,40.1352,-88.239225,Anthony and Market (SW),MTD7816,ANTHMKT:8,40.1353,-88.2395,Anthony and Market (NW Far Side),,,,,,,,,,,,,,,,,,,,
ANTHNYNAP,Anthony at Napleton's,MTD3769,33562.28,MTD3769,ANTHNYNAP:4,40.137229,-88.194106,Anthony at Napleton's (West Side),,,,,,,,,,,,,,,,,,,,,,,,,
ANTHNYWLLW,Anthony and Willow,MTD9257,31762.92,MTD9257,ANTHNYWLLW:1,40.134987,-88.19994,Anthony & Willow (NE Corner),,,,,,,,,,,,,,,,,,,,,,,,,
ANTHYDUSK,Anthony and Dusk,MTD8695,33490.74,MTD8695,ANTHYDUSK:2,40.134301,-88.193149,Anthony & Dusk (SE Corner),MTD8695,ANTHYDUSK:4,40.134436,-88.193291,Anthony & Dusk (West Side),,,,,,,,,,,,,,,,,,,,
ANTHYRK,Anthony at Rural King,MTD0344,16052.49,MTD0344,ANTHYRK:2,40.136215,-88.26343,Anthony at Rural King (North Side),MTD0344,ANTHYRK:3,40.136192,-88.263765,Anthony at Rural King (South Side),,,,,,,,,,,,,,,,,,,,
ANTHYWSS,Anthony at Woodspring Suites,MTD4792,15582.13,MTD4792,ANTHYWSS:1,40.136865,-88.26662,Anthony at Woodspring Suites (South),MTD4792,ANTHYWSS:2,40.136923,-88.266502,Anthony at Woodspring Suites (North),,,,,,,,,,,,,,,,,,,,
ANTMATS,Anthony and Mattis,MTD5742,15330.81,MTD5742,ANTMATS:1,40.143323,-88.277135,Anthony & Mattis (NE Corner),MTD5742,ANTMATS:2,40.143087,-88.27727,Anthony & Mattis (SE Corner),,,,,,,,,,,,,,,,,,,,
ANTNSHR,Anthony and North Shore,MTD8026,26215.08,MTD8026,ANTNSHR:1,40.136592,-88.221887,Anthony & North Shore (NE Corner),,,,,,,,,,,,,,,,,,,,,,,,,
ANTNWH,Anthony at National Warehouse,MTD1190,24809.14,MTD3769,ANTNWH:1,40.135691,-88.226865,Anthony at National Warehouse (NE),,,,,,,,,,,,,,,,,,,,,,,,,
ANTWTRS,Anthony and Walters,MTD1256,14887.15,MTD1256,ANTWTRS:4,40.139289,-88.273236,Anthony & Walters (NW Corner),MTD1256,ANTWTRS:5,40.139442,-88.273053,Anthony & Walters (NE Far Side),,,,,,,,,,,,,,,,,,,,
APTHICRS,Airport Rd. and High Cross,MTD2364,42393.74,MTD2364,APTHICRS:2,40.142123,-88.162845,Airport & High Cross (SE Corner),MTD2364,APTHICRS:3,40.142168,-88.163036,Airport & High Cross (SW Corner),,,,,,,,,,,,,,,,,,,,
ARC,Activities and Recreation,MTD5762,20380.43,MTD5762,ARC:1,40.101402,-88.236023,ARC (South Side),MTD5762,ARC:2,40.101486,-88.236055,ARC (North Side),,,,,,,,,,,,,,,,,,,,
ARPRTCLFTN,Airport and Clifton,MTD1789,39618.06,MTD1789,ARPRTCLFTN:3,40.142083,-88.173338,Airport & Clifton (SW Corner),,,,,,,,,,,,,,,,,,,,,,,,,
ARPRTCNGHM,Airport and Cunningham,MTD7442,35119.06,MTD7442,ARPRTCNGHM:3,40.141982,-88.191041,Airport & Cunningham (SW Corner),MTD7442,ARPRTCNGHM:6,40.141986,-88.189672,Airport & Cunnigham (SE Far Side),,,,,,,,,,,,,,,,,,,,
ARPRTCPTVA,Airport and Captiva,MTD0228,36192.44,MTD0228,ARPRTCPTVA:3,40.142002,-88.186272,Airport & Captiva (SW Corner),,,,,,,,,,,,,,,,,,,,,,,,,
ARPRTDNLD,Airport and Donald,MTD9387,40246.55,MTD9387,ARPRTDNLD:3,40.142105,-88.170981,Airport & Donald (SW Corner),,,,,,,,,,,,,,,,,,,,,,,,,
ARPRTFDCRST,Airport and Fieldcrest,MTD9405,38924.82,MTD9405,ARPRTFDCRST:3,40.142068,-88.175946,Airport & Fieldcrest (SW Corner),,,,,,,,,,,,,,,,,,,,,,,,,
ARPRTLNDSFRM,Airport and Landis Farm,MTD5598,36800.18,MTD5598,ARPRTLNDSFRM:3,40.142017,-88.183968,Airport & Landis Farm (SW Corner),,,,,,,,,,,,,,,,,,,,,,,,,
ARPRTSKYLN,Airport and Skyline,MTD5558,37489.91,MTD5558,ARPRTSKYLN:2,40.142002,-88.181289,Airport & Skyline (SE Corner),MTD5558,ARPRTSKYLN:3,40.142028,-88.181412,Airport & Skyline (SW Corner),,,,,,,,,,,,,,,,,,,,
ARPRTWLLW,Airport and Willow,MTD4762,32372.43,MTD4762,ARPRTWLLW:2,40.141836,-88.200784,Airport & Willow (SE Corner),,,,,,,,,,,,,,,,,,,,,,,,,
ARPTRDFF,Airport Road at Farm and Fleet,MTD8023,33984.71,MTD8023,ARPTRDFF:3,40.141961,-88.19469,Airport Road at Farm & Fleet (SW Corner),,,,,,,,,,,,,,,,,,,,,,,,,
ARYWRT,Armory and Wright,MTD4145,22232.07,MTD4145,ARYWRT:5,40.105846,-88.228752,Armory & Wright (NE Far Side),,,,,,,,,,,,,,,,,,,,,,,,,
