route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SILVER EVENING SATURDAY,SV1 UISA,[@124.0.92284627@][1484347218447]/138__SV1_UISA,Lincoln Square,0,SV1 UISA,[@124.0.92284627@]130N SILVER EVENING 2
GREEN SUNDAY,GN1 SU,[@124.0.92334988@][1484579202830]/44__GN1_SU,Round Barn Road,1,GN1 SU,[@124.0.92334988@]GN5SUNPO
TEAL,T1 UI MTWR,[@7.0.41893871@][3][1243541488843]/135__T1_UI_MTWR,PAR,0,T1 UI MTWR,12E TEAL 13
TEAL,T3 NON UI MF,[@7.0.41893871@][4][1243540851671]/10__T3_NON_UI_MF,Illinois Terminal,1,T3 NON UI MF,12W TEAL 12
SILVER,SV4 NON UI NOSCH,[@12.0.42199629@][4][1246896833000]/89__SV4_NON_UI_NOSCH,PAR,1,SV4 NON UI NOSCH,SILVER 120
LAVENDER,L1 MF,[@15.0.63192662@][2][1334601316770]/18__L1_MF,Illinois Terminal,1,L1 MF,LAVENDER 2
GREEN SUNDAY,GR2 SU,[@124.0.92334988@][1484579202830]/35__GR2_SU,Orchard Downs,0,GR2 SU,[@124.0.92334988@]50E->PC
LAVENDER ALT,SV4 UIF SCH,[@2.0.84876422@][1455575336053]/62__SV4_UIF_SCH,State & Green,1,SV4 UIF SCH,[@2.0.84876422@]LP1SCHOOLPO
RED,R5 MF,[@14.0.56288404@][2][1303323201627]/12__R5_MF,Lincoln Square,1,R5 MF,[@15.0.66066034@]15
ILLINI,I2 UIMTH,[@7.0.41200832@][2][1238430887312]/153__I2_UIMTH,PAR,1,I2 UIMTH,22S ILLINI 20
YELLOWHOPPER,Y8 UIMF,[@6.0.14331263@][1][1622139626848]/18__Y8_UIMF,Illinois Terminal,0,Y8 UIMF,YELLOWHOPPER 23
1 YELLOW ALT,1N SHOW MTTF,[@6.0.4561608@][1][1612730147779]/2__1N_SHOW_MTTF,Harris & Harvard,0,1N SHOW MTTF,[@14.0.56289002@]26
ILLINI EVENING,I2-2 UIF,[@7.0.41950648@][1244056065453]/116__I2-2_UIF,Lincoln & Killarney,0,I2-2 UIF,220N ILLINI 10
LINK,LN3 MF,[@6.0.15252684@][2][1622672028480]/55__LN3_MF,Water Survey,1,LN3 MF,[@6.0.15252684@]2
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/15__T1_UISA,Illinois Terminal,1,T1 UISA,TEAL WEEKEND 16
TEAL EVENING,T2-4 UI MF,[@7.0.41903462@][3][1243545711640]/28__T2-4_UI_MF,Orchard Downs,0,T2-4 UI MF,TEAL EVENING 13
BLUE,B3 SCHMF,[@14.0.56288268@][3][1302634831873]/7__B3_SCHMF,Illinois Terminal,0,B3 SCHMF,BLUE 51
ILLINI,I7 UIF,[@7.0.41200832@][2][1238430887312]/140__I7_UIF,PAR,1,I7 UIF,22S ILLINI 20
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/137__T1_UISA,Orchard Downs,0,T1 UISA,12E TEAL WEEKEND 13
TEAL EVENING SATURDAY,T2 UISA,[@124.0.92279199@][1484345597711]/31__T2_UISA,Illinois Terminal,1,T2 UISA,[@124.0.92279199@]TEAL EVENING 12
TEAL LATE NIGHT SUNDAY,T2 UISU,[@124.0.92276155@][1484344792164]/54__T2_UISU,Illinois Terminal,1,T2 UISU,[@124.0.92276155@]120W TEAL LATE 12
SILVER SATURDAY,SV1 UISA,[@12.0.44184681@][1250945403296]/262__SV1_UISA,Vet-Med,1,SV1 UISA,130S SILVER WEEKEND 3
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/69__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
5E GREEN EXPRESS 1 ALT,GNX1 SHOW MTTF,[@36.0.28512759@][3][1175211123269]/8__GNX1_SHOW_MTTF,Harris & Harvard,0,GNX1 SHOW MTTF,5E EXP 1 ALT
TEAL SATURDAY,T1 NONUISA,[@12.0.44194660@][1250946648828]/265__T1_NONUISA,Illinois Terminal,1,T1 NONUISA,TEAL WEEKEND 45
